label,GCN,MLP,solubility
1,0.612375796,0.4882531,0.18
2,0.381843776,0.45491242,0.07
3,0.69256264,0.60149705,0.85
4,0.780890286,0.78576684,0.89
5,0.642074645,0.7413132,0.59
6,0.877992213,0.94818085,1
8,0.684393227,0.449429,0.32
9,0.262660861,0.34507415,0.13
10,0.860013723,0.96932375,1
11,0.429720342,0.24309309,0.42
13,0.919657767,0.96459544,1
14,0.742466152,0.80792385,0.75
15,0.321001768,0.3940258,0.57
16,0.807864666,0.8567282,0.94
17,0.66832155,0.51187664,0.6
18,0.508659601,0.39267993,0.19
19,0.70317477,0.5164973,0.15
20,0.369438827,0.32108855,0.55
21,0.535250723,0.56638724,0.41
22,0.912877738,0.891968,0.78
23,0.52156812,0.47954258,0.53
24,0.457581371,0.5815302,0.36
25,0.870552003,0.7961461,0.83
26,0.464417309,0.37909722,0.34
27,0.87199378,0.8206712,0.81
28,0.566308737,0.37784874,0.27
31,0.565275013,0.44986537,0.86
33,0.351571292,0.29204893,0.33
34,0.62565881,0.46621057,0.44
35,0.362946182,0.6130283,0.38
37,0.329139799,0.35123214,0.08
38,0.30120945,0.30605966,0.3
39,0.26614663,0.30965444,0.28
40,0.173095569,0.2764058,0.09
41,0.149309054,0.06948117,0.11
42,0.605242372,0.26847214,0.22
43,0.197216511,0.12836787,0.08
47,0.488675475,0.5566708,0.1
48,0.448249519,0.32992947,0.08
49,0.350152194,0.19354223,0.03
50,0.684581876,0.7281886,0.15
51,0.76973635,0.7501415,0.79
54,0.271150053,0.24357377,0.22
55,0.383783013,0.7426443,0.35
56,0.430094332,0.6627677,0.59
58,0.403829485,0.18440238,0.49
59,0.527170062,0.62297195,0.77
60,0.703046203,0.67352855,0.97
61,0.456561536,0.35300368,0.24
62,0.690280557,0.5608136,0.85
63,0.832341075,0.9029159,0.8
65,0.488643527,0.574337,0.58
66,0.946182787,0.7759801,1
67,0.923996985,0.9179048,0.92
69,0.73515451,0.63205445,0.64
70,0.359083176,0.37658843,0.17
72,0.738294482,0.6600301,0.6
73,0.274254203,0.17479928,0.03
75,0.30911833,0.42356586,0.16
76,0.71503526,0.81232595,0.95
77,0.760392606,0.7439015,0.79
78,0.583298743,0.5156484,0.9
79,0.920716882,0.94687873,0.83
80,0.747588098,0.6432012,0.36
82,0.554260671,0.47803771,0.22
83,0.331598461,0.32141256,0.06
84,0.33066678,0.110891886,0.19
85,0.310813546,0.39611813,0.79
86,0.583276987,0.39970124,0.48
87,0.496034503,0.26999623,0.06
90,0.176300645,0.18112567,0.12
91,0.727674484,0.76929724,0.75
92,0.421677589,0.45980936,0.22
93,0.697680414,0.6355299,0.52
95,0.279599994,0.29521766,0.15
96,0.342194587,0.3900664,0.41
98,0.695232868,0.60136247,0.26
99,0.231795475,0.20441952,0.09
100,0.70017767,0.7705178,0.77
102,0.400499016,0.23319878,0.23
104,0.473905981,0.4468216,0.2
106,0.393608809,0.20171861,0.07
107,0.28489244,0.31091148,0.46
108,0.344153166,0.5484571,0.33
111,0.766072571,0.78214353,1
113,0.495401442,0.45835012,0.31
114,0.276144952,0.30174363,0.09
115,0.867940605,0.72695583,0.93
116,0.279707432,0.26422298,0.06
