label,Osborne,GCN,MLP,Stacking
40,Albumin,0.425802618,0.766218,0.588369246
41,Albumin,0.786313951,0.81498456,0.807364974
42,Albumin,0.529349089,0.7446467,0.63145775
43,Albumin,0.715215981,0.8774758,0.804795275
44,Albumin,0.824799359,0.9318901,0.891715402
45,Albumin,0.74636656,0.76048523,0.755874074
46,Albumin,0.384828687,0.627683,0.487494325
47,Albumin,0.56883657,0.7677596,0.665662763
48,Albumin,0.50724858,0.79517597,0.648290208
49,Albumin,0.737087369,0.66115624,0.694804502
50,Albumin,0.678207219,0.55273247,0.601577328
51,Albumin,0.719904304,0.55519825,0.625255932
52,Albumin,0.739797175,0.39667818,0.545223901
53,Albumin,0.645641208,0.2873609,0.43260688
54,Albumin,0.62777108,0.4062279,0.490724921
55,Albumin,0.550707817,0.47874528,0.490915834
56,Albumin,0.466484725,0.5999106,0.515207926
57,Albumin,0.401409477,0.41097304,0.372559835
58,Albumin,0.663977802,0.45869952,0.540132776
59,Albumin,0.51492393,0.4807584,0.472906244
60,Albumin,0.467502266,0.31945178,0.355738138
61,Albumin,0.70848608,0.4283559,0.546592655
62,Albumin,0.747098565,0.48898706,0.601899254
63,Albumin,0.201711297,0.6960221,0.429634602
64,Albumin,0.653848171,0.44021264,0.524127882
65,Albumin,0.68892622,0.39519686,0.517173083
66,Albumin,0.925213873,0.80373776,0.873081094
67,Albumin,0.681341588,0.4085079,0.520719452
68,Albumin,0.661067069,0.77941394,0.721369173
69,Albumin,0.674013197,0.60538405,0.629437493
70,Albumin,0.813504934,0.87678325,0.855737654
71,Albumin,0.653646708,0.4640679,0.537672698
72,Albumin,0.458655745,0.6495607,0.539425356
73,Albumin,0.53920722,0.52638054,0.512034244
74,Albumin,0.529395223,0.66876256,0.588259997
75,Albumin,0.627930224,0.8611895,0.749662069
76,Albumin,0.635418773,0.85108316,0.74798596
77,Albumin,0.85773623,0.7653149,0.816930846
78,Albumin,0.917981327,0.8511408,0.895443415
79,Albumin,0.285936177,0.41980392,0.316698397
80,Albumin,0.62227571,0.4696117,0.524038843
81,Albumin,0.737258732,0.7171396,0.726622146
82,Albumin,0.611360133,0.43189386,0.496604806
83,Albumin,0.714175522,0.48105997,0.579787408
84,Albumin,0.728026211,0.43419844,0.560379991
175,Albumin,0.648084462,0.56948966,0.595053107
176,Albumin,0.449249506,0.48182136,0.438413745
177,Albumin,0.45215863,0.48584756,0.442267695
178,Albumin,0.545219719,0.5038594,0.502355948
179,Albumin,0.506038308,0.9071809,0.710577384
0,Globulin,0.423269033,0.30701646,0.325269038
1,Globulin,0.606871545,0.46448982,0.512851309
2,Globulin,0.421984404,0.35237682,0.350216851
3,Globulin,0.625314176,0.5262973,0.558131486
4,Globulin,0.366234422,0.254603,0.265845369
5,Globulin,0.394830406,0.28988487,0.300619224
6,Globulin,0.366164923,0.26373738,0.270909389
7,Globulin,0.533122838,0.5403667,0.51678619
8,Globulin,0.599628806,0.33809322,0.436804053
9,Globulin,0.577632368,0.3655838,0.440683752
10,Globulin,0.553988695,0.32345045,0.404084868
11,Globulin,0.520936728,0.7458714,0.627655714
12,Globulin,0.314786881,0.20443547,0.211211693
13,Globulin,0.369685531,0.23930585,0.259124798
14,Globulin,0.464619577,0.2729614,0.327985378
15,Globulin,0.601577759,0.45080745,0.502183086
16,Globulin,0.50369519,0.22031824,0.31915946
17,Globulin,0.507699013,0.35753807,0.398734266
18,Globulin,0.493937761,0.30810896,0.363378279
19,Globulin,0.555432022,0.4776203,0.492802744
20,Globulin,0.655513227,0.5902879,0.610923434
21,Globulin,0.601921618,0.5566191,0.562964374
22,Globulin,0.359136432,0.24234833,0.255300759
23,Globulin,0.402469128,0.31806716,0.320506318
24,Globulin,0.357507169,0.2301148,0.247645223
25,Globulin,0.497296304,0.6011098,0.532384985
26,Globulin,0.513161182,0.30132344,0.369773727
27,Globulin,0.412356436,0.32155037,0.327694941
28,Globulin,0.426789135,0.32366553,0.33652518
29,Globulin,0.631296277,0.47788987,0.533612465
30,Globulin,0.356234789,0.21148014,0.23664286
31,Globulin,0.441362232,0.2867099,0.323404081
32,Globulin,0.37614879,0.30396357,0.298694937
33,Globulin,0.44870019,0.4455435,0.417400418
34,Globulin,0.419463336,0.32905543,0.335691393
35,Globulin,0.403110474,0.25218877,0.283853214
36,Globulin,0.411466271,0.26354498,0.294608156
37,Globulin,0.581309497,0.6988887,0.633219303
38,Globulin,0.454127461,0.42610964,0.409207489
39,Globulin,0.561592281,0.35233665,0.424562102
165,Globulin,0.594406724,0.39640614,0.467242826
166,Globulin,0.549865544,0.39151126,0.440606611
167,Globulin,0.586662769,0.5156887,0.531341681
168,Globulin,0.426285982,0.3869615,0.372114976
169,Globulin,0.394553483,0.28750965,0.299139568
170,Globulin,0.434630752,0.27618685,0.31392629
171,Globulin,0.564083993,0.34784794,0.423340866
172,Globulin,0.696966946,0.42998618,0.541362885
173,Globulin,0.425049901,0.32536334,0.336563204
174,Globulin,0.443352282,0.21924739,0.286651326
110,Glutelin,0.309899271,0.17739545,0.193809435
111,Glutelin,0.239569589,0.16287628,0.149828542
112,Glutelin,0.301347226,0.18161839,0.191714495
113,Glutelin,0.293126076,0.20283027,0.199132086
114,Glutelin,0.269525588,0.19782142,0.18423228
115,Glutelin,0.25963515,0.21002764,0.185859557
116,Glutelin,0.239041939,0.15167485,0.143477157
117,Glutelin,0.274166018,0.18410921,0.179096512
133,glutelin,0.227865264,0.16515633,0.145119081
134,glutelin,0.227083936,0.16029587,0.142083063
135,glutelin,0.250048339,0.19127607,0.170665144
136,glutelin,0.337901354,0.16388789,0.200877968
137,glutelin,0.417557627,0.25615302,0.293678096
138,glutelin,0.373593569,0.27771756,0.282626586
139,glutelin,0.336702734,0.22572365,0.234361856
140,glutelin,0.54685545,0.41976073,0.455119901
141,glutelin,0.340122938,0.19626597,0.219845436
142,glutelin,0.345364392,0.20614602,0.228028671
143,glutelin,0.23539342,0.208765,0.172756832
144,glutelin,0.323865533,0.18855277,0.207161782
145,glutelin,0.268359959,0.23001954,0.201354832
146,glutelin,0.330370039,0.3326877,0.290810503
147,glutelin,0.251164138,0.20973559,0.181356
148,glutelin,0.388036788,0.3944979,0.356115952
149,glutelin,0.417765528,0.3660963,0.355753708
150,glutelin,0.512073278,0.4006854,0.425632836
151,glutelin,0.614427507,0.31097016,0.429307109
152,glutelin,0.283714622,0.30431247,0.250562521
153,glutelin,0.619638443,0.37588185,0.469042641
154,glutelin,0.405908138,0.26773956,0.294030371
155,glutelin,0.713963926,0.45134574,0.562672021
156,glutelin,0.490754962,0.39983356,0.413763692
157,glutelin,0.65626812,0.32140025,0.457619881
158,glutelin,0.290478498,0.16498917,0.177013825
159,glutelin,0.594689608,0.27433035,0.39799651
160,glutelin,0.274046123,0.24026144,0.209943877
161,glutelin,0.669949889,0.3862139,0.501883576
162,glutelin,0.602028728,0.294271,0.413205679
163,Glutelin,0.404798508,0.28279555,0.301890872
164,Glutelin,0.56656599,0.33146575,0.415355539
190,glutelin,0.448349953,0.32114255,0.346526701
191,glutelin,0.695017934,0.48915324,0.574177692
192,glutelin,0.560820699,0.32277423,0.407350446
193,glutelin,0.331861943,0.2694418,0.256156088
194,glutelin,0.270530492,0.20487894,0.188624687
195,glutelin,0.410190135,0.2790078,0.302607028
196,glutelin,0.449699104,0.25336537,0.309082624
197,glutelin,0.434390455,0.34679532,0.353634155
198,glutelin,0.59178865,0.37720543,0.454884923
199,glutelin,0.47286436,0.3997693,0.4041844
85,Prolamini,0.3288562,0.24722683,0.242216147
86,Prolamini,0.148668364,0.23555917,0.143475588
87,Prolamini,0.170891061,0.2799295,0.17906975
88,Prolamini,0.122575924,0.33401552,0.184526922
89,Prolamini,0.596437871,0.19403863,0.353737613
90,Prolamini,0.188829124,0.24582362,0.169390534
91,Prolamini,0.578539312,0.18622586,0.339841114
92,Prolamini,0.136926562,0.26341593,0.152827085
93,Prolamini,0.317907244,0.27352247,0.251157305
94,Prolamini,0.625781357,0.2533687,0.402758092
95,Prolamini,0.644707143,0.18452914,0.374132113
96,Prolamini,0.585062802,0.22168565,0.363185632
97,Prolamini,0.616772473,0.20343713,0.369840711
98,Prolamini,0.583084404,0.19392675,0.346566339
99,Prolamini,0.600961506,0.21497917,0.367891736
100,Prolamini,0.590424776,0.42514443,0.481528429
101,Prolamini,0.544248462,0.28804538,0.378832178
102,Prolamini,0.18429397,0.2007695,0.142437009
103,Prolamini,0.151101023,0.19545223,0.122855956
104,Prolamini,0.232643157,0.22467372,0.180085948
105,Prolamini,0.3961263,0.34221497,0.330784823
106,Prolamini,0.56918323,0.17402641,0.328056366
107,Prolamini,0.591639042,0.2977064,0.409599956
108,Prolamini,0.495251656,0.2541868,0.333675797
109,Prolamini,0.505226851,0.24549319,0.334087033
118,Prolamini,0.467156082,0.22376253,0.301740152
119,Prolamini,0.401702464,0.24135678,0.277061574
120,Prolamini,0.290471017,0.2394655,0.217987463
121,Prolamini,0.527139723,0.20759824,0.324479694
122,Prolamini,0.412290931,0.19640517,0.257606877
123,Prolamini,0.145041928,0.26469105,0.157611125
124,Prolamini,0.56918323,0.17402641,0.328056366
125,Prolamini,0.591639042,0.2977064,0.409599956
126,Prolamini,0.495251656,0.2541868,0.333675797
127,Prolamini,0.505226851,0.24549319,0.334087033
128,Prolamini,0.500233591,0.18452576,0.297347402
129,Prolamini,0.15771769,0.23548609,0.147988993
130,Prolamini,0.122575924,0.33401552,0.184526922
131,Prolamini,0.625781357,0.2533687,0.402758092
132,Prolamini,0.600961506,0.21497917,0.367891736
180,Prolamini,0.307605743,0.27460277,0.246397785
181,Prolamini,0.394342333,0.23440175,0.269316426
182,Prolamini,0.402465582,0.23029137,0.27129076
183,Prolamini,0.581902444,0.2556588,0.380625964
184,Prolamini,0.561695218,0.21494932,0.346961615
185,Prolamini,0.500495434,0.22829652,0.321930272
186,Prolamini,0.51057446,0.23499312,0.331032272
187,Prolamini,0.615691662,0.28239283,0.413779615
188,Prolamini,0.526987493,0.19810565,0.319093102
189,Prolamini,0.165103644,0.23155649,0.149562036
