,gene,solubility,prediction
305,1,0.18000000715255737,0.612375795841217
1694,2,0.07000000029802322,0.38184377551078796
819,3,0.8500000238418579,0.6925626397132874
2206,4,0.8899999856948853,0.7808902859687805
1038,5,0.5899999737739563,0.6420746445655823
2149,6,1.0,0.8779922127723694
214,8,0.3199999928474426,0.6843932271003723
468,9,0.12999999523162842,0.2626608610153198
1368,10,1.0,0.8600137233734131
355,11,0.41999998688697815,0.42972034215927124
679,13,1.0,0.9196577668190002
502,14,0.75,0.742466151714325
2050,15,0.5699999928474426,0.3210017681121826
478,16,0.9399999976158142,0.8078646659851074
624,17,0.6000000238418579,0.6683215498924255
1482,18,0.1899999976158142,0.5086596012115479
1147,19,0.15000000596046448,0.7031747698783875
728,20,0.550000011920929,0.3694388270378113
945,21,0.4099999964237213,0.535250723361969
285,22,0.7799999713897705,0.9128777384757996
382,23,0.5299999713897705,0.5215681195259094
1790,24,0.36000001430511475,0.45758137106895447
91,25,0.8299999833106995,0.8705520033836365
685,26,0.3400000035762787,0.46441730856895447
1177,27,0.8100000023841858,0.8719937801361084
638,28,0.27000001072883606,0.5663087368011475
49,31,0.8600000143051147,0.5652750134468079
1248,33,0.33000001311302185,0.35157129168510437
2180,34,0.4399999976158142,0.6256588101387024
280,35,0.3799999952316284,0.36294618248939514
548,37,0.07999999821186066,0.3291397988796234
288,38,0.30000001192092896,0.3012094497680664
1814,39,0.2800000011920929,0.26614663004875183
1813,40,0.09000000357627869,0.17309556901454926
230,41,0.10999999940395355,0.14930905401706696
2115,42,0.2199999988079071,0.6052423715591431
1940,43,0.07999999821186066,0.19721651077270508
1653,47,0.10000000149011612,0.48867547512054443
1049,48,0.07999999821186066,0.4482495188713074
674,49,0.029999999329447746,0.3501521944999695
309,50,0.15000000596046448,0.6845818758010864
204,51,0.7900000214576721,0.7697363495826721
326,54,0.2199999988079071,0.27115005254745483
712,55,0.3499999940395355,0.3837830126285553
778,56,0.5899999737739563,0.43009433150291443
999,58,0.49000000953674316,0.4038294851779938
350,59,0.7699999809265137,0.5271700620651245
